"Direcciones_c";"Direcciones_prueba";"Ciudad";"localizaciones.lat";"localizaciones.long"
"CQ 3 66 B 165";"CQ 3 66 B 165 EDIFICIO NANTES";"MEDELLIN";6,24469;-75,58689
"CL 77 AC 75 165";"CL 77 AC 75 165 FUENTE AZUL";"MEDELLIN";6,24589;-75,57457
"CL 33 70 A 21";"CL 33 70 A 21 ";"MEDELLIN";6,265157;-75,54584
"CR 53 25 75";"CR 53 25 75 CONJUNTO RESIDENCIAL MANANTIALES PH";"BELLO";6,20542;-75,56718
"CL 63 80 A 126";"CL 63 80 A 126 MIRADOR DE LA 80";"MEDELLIN";6,27358;-75,59528
"CIR 3 CR 66 B 165";"CIR 3 CR 66 B 165 EDIFICIO NANTES";"MEDELLIN";6,24589;-75,57457
"CL 52 71 60";"CL 52 71 60 URBANIZACION PORTOVELHO DE LOS COLORES";"MEDELLIN";6,264689;-75,59497
"CL 49 E 83 A 200";"CL 49 E 83 A 200 SOL CRECIENTE";"MEDELLIN";6,26445;-75,60315
"CL 56 78 A 81";"CL 56 78 A 81 EDIFICIO COSTA DE MARFIL";"MEDELLIN";6,26945;-75,59365
"CL 35 B 86 81";"CL 35 B 86 81 EDIFICIO PRIMAVERA";"MEDELLIN";6,24498;-75,61131
"CL 78 A 67 54";"CL 78 A 67 54 LOMAS DEL PILAR";"MEDELLIN";6,27521;-75,57795
"CIR 3 66 B 165";"CIR 3 66 B 165 EDIFICIO NANTES";"MEDELLIN";6,24469;-75,58689
"CL 51 64 B 21";"CL 51 64 B 21 EDIFICIO VIVALDI";"MEDELLIN";6,255829998;-75,57945003
"CL 51 54 30";"CL 51 54 30 ";"BELLO";6,334885;-75,56199
"CL 51 64 B 21";"CL 51 64 B 21 EDIFICIO VIVALDI";"MEDELLIN";6,25583;-75,57945
"CL 9 SUR 79 C 115";"CL 9 SUR 79 C 115 ARBOLEDA DEL RODEO APARTAMENTOS";"MEDELLIN";6,20785;-75,59099
"CR 66 35 04";"CR 66 35 04 BALCONES DE SANTIAGO";"MEDELLIN";6,24115;-75,5853
"CR 73 52 65";"CR 73 52 65 CONJUNTO DE USO MIXTO CAMINO DE COLORES";"MEDELLIN";6,262998;-75,5872
"CR 50 27 B 145";"CR 50 27 B 145 ";"BELLO";6,317349;-75,55714
"CR 73 52 65";"CR 73 52 65 ";"MEDELLIN";6,26219;-75,5879
"CL 51 84 181";"CL 51 84 181 CONJUNTO RESIDENCIAL FARALLONES PH";"MEDELLIN";6,267446;-75,6021
"CR 79 C 45 35";"CR 79 C 45 35 MULTIFAMILIAR LOS PINOS PH";"MEDELLIN";6,25259;-75,59972
"CR 76 53 215";"CR 76 53 215 ";"MEDELLIN";6,26511;-75,58876
"CR 82 A 30 63";"CR 82 A 30 63 ";"MEDELLIN";6,231557;-75,60444
"CL 9 B SUR 79 A 221";"CL 9 B SUR 79 A 221 URBANIZACION RODEO VERDE PH";"MEDELLIN";6,202258;-75,59928
"CL 33 AA 81 A 41";"CL 33 AA 81 A 41 ";"MEDELLIN";6,23993;-75,60444
"CR 90 65 C 10";"CR 90 65 C 10 CONJUNTO RESIDENCIAL MIRADOR DE BARCELONA";"MEDELLIN";6,278576;-75,59837
"CL 9 B SUR 79 A 221";"CL 9 B SUR 79 A 221 URB RODEO VERDE";"MEDELLIN";6,202258;-75,59928
"CL 5 A 35 59";"CL 5 A 35 59 EDIFICIO CALLE 5 A PH";"MEDELLIN";6,20327;-75,56683
"CQ 3 66 B 165";"CQ 3 66 B 165 URB NANTES";"MEDELLIN";6,24469;-75,58689
"CR 81 C 49 F 50";"CR 81 C 49 F 50 EDIFICIO BELOHORIZONTE";"MEDELLIN";6,26388;-75,5998
"CR 80 37 44";"CR 80 37 44 EDIFICIO JACARANDA DE LAURELES PH";"MEDELLIN";6,24522;-75,59994
"CL 34 C 88 B 66";"CL 34 C 88 B 66 CONJUNTO RESIDENCIAL RIO CAMPESTRE PH";"MEDELLIN";6,24372;-75,61497
"CL 63 80 A 40";"CL 63 80 A 40 UNIDAD RESIDENCIAL CRUCERO DE LA 80";"MEDELLIN";6,273493;-75,59391
"CL 32 D 65 C 15";"CL 32 D 65 C 15 EDIFICIO SANTA MARIA LA ANTIGUA";"MEDELLIN";6,23754;-75,5846
"CR 85 47 EE 22";"CR 85 47 EE 22 ";"MEDELLIN";6,257087;-75,60174
"CR 66 35 04";"CR 66 35 04 BALCONES DE SANTIAGO";"MEDELLIN";6,241150017;-75,58530001
"CL 77 AC 75 165";"CL 77 AC 75 165 CONJUNTO RESIDENCIAL FUENTE AZUL PH";"MEDELLIN";6,24589;-75,57457
"CR 88 36 32";"CR 88 36 32 ED AMERICA REAL";"MEDELLIN";6,24698;-75,61053
"CR 74 52 55";"CR 74 52 55 ";"MEDELLIN";6,26252;-75,58915
"CR 88 34 05";"CR 88 34 05 TORRES DE MONTELIMAR";"MEDELLIN";6,242537;-75,61319
"CR 93 35 B 64";"CR 93 35 B 64 ";"MEDELLIN";6,24872;-75,61469
"CL 52 71 60";"CL 52 71 60 URBANIZACION PORTOVELHO DE LOS COLORE";"MEDELLIN";6,264689;-75,59497
"CR 83 34 A 33";"CR 83 34 A 33 ";"MEDELLIN";6,24238;-75,60578
"CR 29 A 5 SUR 125";"CR 29 A 5 SUR 125 CONJUNTO RESIDENCIAL TIERRA CLARA";"MEDELLIN";6,19269;-75,56317
"CL 61 SUR 43 A 32";"CL 61 SUR 43 A 32 SERRANA APARTAMENTOS PH";"SABANETA";6,154875;-75,60898
"CR 75 DA 2 B SUR 320";"CR 75 DA 2 B SUR 320 LOS CABOS PH";"MEDELLIN";6,20551;-75,59931
"CR 84 35 62";"CR 84 35 62 ";"MEDELLIN";6,24472;-75,6063
"CL 50 A 96 C 165";"CL 50 A 96 C 165 URBANIZACION AMANECERES VIS PH";"MEDELLIN";6,24589;-75,57457
"CL 80 SUR 47 C 61";"CL 80 SUR 47 C 61 ";"SABANETA";6,147967;-75,62661
"CL 57 68 C 65";"CL 57 68 C 65 ";"BELLO";6,342283;-75,57407
"CR 81 A 36 45";"CR 81 A 36 45 ";"MEDELLIN";6,244777;-75,60335
"CL 49 E 83 A 200";"CL 49 E 83 A 200 SOL CRECIENTE PH";"MEDELLIN";6,26445;-75,60315
"CL 49 E 83 A 196";"CL 49 E 83 A 196 CONJUNTO RESIDENCIAL SOL NACIENTE PH";"MEDELLIN";6,26403;-75,60283
"CR 81 A 37 B 22";"CR 81 A 37 B 22 ED JAIPERA";"MEDELLIN";6,24518;-75,60321
"CL 65 98 45";"CL 65 98 45 ";"MEDELLIN";6,285459;-75,60666
"CL 65 90 90";"CL 65 90 90 URBANIZACION PENINSULA CONDOMINIO PH";"MEDELLIN";6,27996;-75,59978
"CL 74 SUR 46 E 78";"CL 74 SUR 46 E 78 MIRADOR DE VEGAS PH";"SABANETA";6,15268;-75,61985
"CR 80 34 B 86";"CR 80 34 B 86 EDIFICIO MAYOHA";"MEDELLIN";6,24246;-75,60011
"CL 61 SUR 43 A 32";"CL 61 SUR 43 A 32 ";"SABANETA";6,154875;-75,60898
"CL 2 SUR 35 16";"CL 2 SUR 35 16 ";"MEDELLIN";6,1996;-75,56758
"CR 83 B 33 82";"CR 83 B 33 82 EDIFICIO GALILEA PH";"MEDELLIN";6,23944;-75,60735
"CR 93 35 B 118";"CR 93 35 B 118 ";"MEDELLIN";6,249;-75,61438
"CL 70 SUR 38 305";"CL 70 SUR 38 305 CONJUNTO RESIDENCIAL LOMA LINDA PH";"SABANETA";6,149579;-75,61372
"CR 20 25 SUR 81";"CR 20 25 SUR 81 URBANIZACION BARICHARA CASAS PH";"ENVIGADO";6,172707;-75,56213
"CR 80 AA 36 44";"CR 80 AA 36 44 ";"MEDELLIN";6,24464;-75,60127
"CL 76 80 205";"CL 76 80 205 ";"MEDELLIN";6,27723;-75,59154
"CR 80 AA 35 A 15";"CR 80 AA 35 A 15 EDIFICIO MAZIRUMA II";"MEDELLIN";6,24378;-75,60151
"CL 65 80 A 28";"CL 65 80 A 28 TORRE JORDAN PH";"MEDELLIN";6,27403;-75,59433
"CL 19 43 G 80";"CL 19 43 G 80 ";"MEDELLIN";6,222294;-75,56953
"CL 19 43 G 80";"CL 19 43 G 80 CONJUNTO DE USO MIXTO PLAZA DE RIO PH";"MEDELLIN";6,24589;-75,57457
"DG 74 B 32 EE 147";"DG 74 B 32 EE 147 EDIFICIO ALAMEDA";"MEDELLIN";6,239052;-75,59286
"CL 27 82 A 85";"CL 27 82 A 85 URBANIZACION FAROLES PH";"MEDELLIN";6,2284;-75,60487
"CL 76 80 205";"CL 76 80 205 CONJUNTO RESIDENCIAL TORRES DE HUNGRIA PH";"MEDELLIN";6,22246;-75,60318
"CL 76 SUR 46 22";"CL 76 SUR 46 22 URB VIGO APARTAMENTOS PH";"SABANETA";6,150408;-75,62048
"CL 50 A 86 295";"CL 50 A 86 295 URBANIZACION CONDADO DE CALASANZ";"MEDELLIN";6,26808;-75,60425
"CR 84 F 3 D 150";"CR 84 F 3 D 150 CONJUNTO AVIVA PH";"MEDELLIN";6,217151;-75,60694
"CL 51 A 78 B 63";"CL 51 A 78 B 63 ";"MEDELLIN";6,26422;-75,59544
"CR 81 C 49 74";"CR 81 C 49 74 ";"MEDELLIN";6,26288;-75,60003
"CL 35 87 A 13";"CL 35 87 A 13 ";"MEDELLIN";6,24394;-75,61221
"CR 84 45 C 53";"CR 84 45 C 53 EDIFICIO EL PILON";"MEDELLIN";6,25484;-75,60211
"CL 42 80 B 49";"CL 42 80 B 49 ";"MEDELLIN";6,24888;-75,60151
"CR 84 B 7 95";"CR 84 B 7 95 ";"MEDELLIN";6,217165;-75,60694
"CL 49 DD 86 35";"CL 49 DD 86 35 NUEVO PORTAL";"MEDELLIN";6,26242;-75,60445
"CL 36 80 B 35";"CL 36 80 B 35 EDIFICIO ARAGON PH";"MEDELLIN";6,24429;-75,60226
"CL 41 103 33";"CL 41 103 33 ";"MEDELLIN";6,25517;-75,61838
"CR 65 8 B 91";"CR 65 8 B 91 LC 006";"MEDELLIN";6,21631;-75,58654
"CR 81 4 G 65";"CR 81 4 G 65 MIRADOR DE LOS BERNAL";"MEDELLIN";6,220507;-75,60272
"CL 74 SUR 46 E 78";"CL 74 SUR 46 E 78 MIRADOR DE LAS VEGAS";"SABANETA";6,15268;-75,61985
"CL 9 B SUR 79 A 221";"CL 9 B SUR 79 A 221 ";"MEDELLIN";6,202258;-75,59928
"AV 39 D 73 126";"AV 39 D 73 126 ";"MEDELLIN";6,246601;-75,59447
"CR 87 A 35 57";"CR 87 A 35 57 ABADIA DEL PARQUE";"MEDELLIN";6,24456;-75,61191
"CL 17 37 A 80";"CL 17 37 A 80 PROVIDENCIA DE CASTROPOLO PH";"MEDELLIN";6,21703;-75,56634
"CR 53 13 A SUR 51";"CR 53 13 A SUR 51 URB ENTRECOLINAS ETAPA 1";"ITAGUI";6,1951;-75,59227
"CR 35 A 77 SUR 113";"CR 35 A 77 SUR 113 CONJUNTO RESIDENCIAL ALAMEDA PH";"SABANETA";6,142434;-75,61405
"CR 96 C 50 A 280";"CR 96 C 50 A 280 CONJUNTO RESIDENCIAL MONTEPARAISO";"MEDELLIN";6,24589;-75,57457
"CL 78 SUR 40 211";"CL 78 SUR 40 211 PARQUES DE SAN REMO PH";"SABANETA";6,145496;-75,6222
"CL 54 40 58";"CL 54 40 58 EDIFICIO ALTAMAR PH";"MEDELLIN";6,24905;-75,55972
"CL 76 80 205";"CL 76 80 205 TORRES DE HUNGRIA";"MEDELLIN";6,27709;-75,59134
"CR 81 A 37 D - 36";"CR 81 A 37 D - 36 TORRE LONDRES II";"MEDELLIN";6,24662;-75,60311
"CL 48 A 83 15";"CL 48 A 83 15 ";"MEDELLIN";6,26065;-75,6017
"CL 5 76 A 150";"CL 5 76 A 150 URBANIZACION VITENZA PH";"MEDELLIN";6,21711;-75,60196
"CL 34 F 89 68";"CL 34 F 89 68 ";"MEDELLIN";6,24541;-75,61461
"CR 66 B 32 D 69";"CR 66 B 32 D 69 EDIFICIO SALERMO PH";"MEDELLIN";6,238257;-75,58754
"CL 27 SUR 27 B 69";"CL 27 SUR 27 B 69 EDIFICIO POSITANO";"ENVIGADO";6,174193;-75,57049
"CL 20 A 77 15";"CL 20 A 77 15 URBANIZACION BELEN AVENIDA";"MEDELLIN";6,22493;-75,59807
"CL 76 SUR 46 22";"CL 76 SUR 46 22 URB VIGO";"SABANETA";6,150408;-75,62048
"CL 76 SUR 46 22";"CL 76 SUR 46 22 URBANIZACION VIGO APARTAMENTOS PH";"SABANETA";6,150408;-75,62048
"CL 49 E 83 A 196";"CL 49 E 83 A 196 CONJUNTO RESIDENCIAL SOL NACIENTE";"MEDELLIN";6,26403;-75,60283
"CR 87 A 32 C 25";"CR 87 A 32 C 25 ";"MEDELLIN";6,234939;-75,60987
"CL 40 A 80 B 21";"CL 40 A 80 B 21 ";"MEDELLIN";6,24817;-75,60077
"TR 15 DG 79 120";"TR 15 DG 79 120 TORRES DE AVIÑON II";"MEDELLIN";6,220529;-75,60112
"CR 74 53 55";"CR 74 53 55 NUEVO MUNDO";"MEDELLIN";6,26354;-75,58847
"CR 85 D 53 20";"CR 85 D 53 20 CONJUNTO RESIDENCIAL Y COMERCIAL LUNA PH";"MEDELLIN";6,26919;-75,60045
"CL 41 88 81";"CL 41 88 81 UNIDAD RESIDENCIAL TORRES DE AMERICA";"MEDELLIN";6,24993;-75,60827
"CR 29 16 201";"CR 29 16 201 EDIFICIO SAN MARCOS PH";"MEDELLIN";6,217069983;-75,55962004
"CL 43 77 43";"CL 43 77 43 ";"MEDELLIN";6,249257;-75,5963
"CL 76 SUR 46 22";"CL 76 SUR 46 22 URBANIZACION VIGO APARTAMENTOS";"SABANETA";6,150408;-75,62048
"CL 2 79 35";"CL 2 79 35 MIRADOR DE LA MOTA";"MEDELLIN";6,212425;-75,60064
"CL 65 80 A 95";"CL 65 80 A 95 CONJUNTO RESIDENCIAL 80 AVENIDA PH";"MEDELLIN";6,27442;-75,59474
"CL 80 SUR 47 C 61";"CL 80 SUR 47 C 61 BALCONES DE LA HOLANDA PH";"SABANETA";6,147967;-75,62661
"CL 63 80 A 40";"CL 63 80 A 40 ";"MEDELLIN";6,273493;-75,59391
"CL 33 C 88 A 93";"CL 33 C 88 A 93 CONJUNTO LAURELES CAMPESTRE ETAPA PARQUE CAMP";"MEDELLIN";6,241636;-75,61351
"CL 70 SUR 43 A 15";"CL 70 SUR 43 A 15 CONJUNTO RESIDENCIAL CANTO DE LUNA";"SABANETA";6,150076;-75,61456
"CL 17 37 A 80";"CL 17 37 A 80 PROVIDENCIA DE CASTROPOLO";"MEDELLIN";6,21703;-75,56634
"CL 18 A SUR 22 35";"CL 18 A SUR 22 35 URB MANANTIAL DE SAN LUCAS";"MEDELLIN";6,18063;-75,5616
"CL 37 80 A 29";"CL 37 80 A 29 EDIFICIO MAPORA";"MEDELLIN";6,24483;-75,60114
"CL 52 71 A 26";"CL 52 71 A 26 PLAZA DEL ESCORIAL TORRES 4 Y 5";"MEDELLIN";6,26099;-75,58714
"CL 65 55 30";"CL 65 55 30 TORRES DE LA FUENTE PH";"MEDELLIN";6,26323;-75,56839
"CR 83 A 27 A 60";"CR 83 A 27 A 60 ";"MEDELLIN";6,229470003;-75,60581002
"CR 30 2 70";"CR 30 2 70 ";"MEDELLIN";6,249152;-75,55006
"CR 93 50 A 91";"CR 93 50 A 91 UNIDAD RESIDENCIAL CALASANZ AZUL PH";"MEDELLIN";6,269128315;-75,6042182
"CR 28 29 145";"CR 28 29 145 CONJUNTO RESIDENCIAL SAN DIEGO CAMPESTRE";"MEDELLIN";6,23349;-75,56834
"CR 81 A 37 D 24";"CR 81 A 37 D 24 ";"MEDELLIN";6,246234;-75,60314
"CR 75 DA 2 B SUR 320";"CR 75 DA 2 B SUR 320 ";"MEDELLIN";6,20551;-75,59931
"CL 30 A 79 69";"CL 30 A 79 69 ";"MEDELLIN";6,23194;-75,59984
"TRV 32 D 74 D 53";"TRV 32 D 74 D 53 ";"MEDELLIN";6,23726;-75,59421
"CR 32 16 300";"CR 32 16 300 ";"MEDELLIN";6,21804;-75,56188
"CL 9 SUR 79 C 115";"CL 9 SUR 79 C 115 ";"MEDELLIN";6,203324;-75,60257
"CR 81 A 36 49";"CR 81 A 36 49 ";"MEDELLIN";6,24477;-75,60335
"CL 49 51 35";"CL 49 51 35 ";"BELLO";6,333472;-75,55933
"CL 9 SUR 79 C 199";"CL 9 SUR 79 C 199 URB PINAR DEL RODEO";"MEDELLIN";6,203324;-75,60257
"CR 25 10 40";"CR 25 10 40 URB CAMINOS DE MONTICELLO";"MEDELLIN";6,20838;-75,55535
"CR 28 29 145";"CR 28 29 145 CONJUNTO RESIDENCIAL SANDIEGO CAMPESTRE";"MEDELLIN";6,243096846;-75,54978387
"CL 78 SUR 40 211";"CL 78 SUR 40 211 PARQUES DE SAN REMO";"SABANETA";6,145496;-75,6222
"CL 9 SUR 79 A 72";"CL 9 SUR 79 A 72 PUERTA DEL RODEO";"MEDELLIN";6,201945;-75,59498
"CR 40 B 15 73";"CR 40 B 15 73 TORRES DE CASTROPOL";"MEDELLIN";6,21548;-75,56709
"CL 5 SUR 22 290";"CL 5 SUR 22 290 AGUAS DEL BOSQUE";"MEDELLIN";6,207834;-75,6103
"CL 38 75 07";"CL 38 75 07 MIRADOR DEL PARQUE PH";"MEDELLIN";6,245;-75,59761
"CR 37 A 29 56";"CR 37 A 29 56 CONJUNTO RESIDENCIAL CERATTO";"MEDELLIN";6,22681;-75,56394
"CR 73 A 45 D 61";"CR 73 A 45 D 61 ";"MEDELLIN";6,251678;-75,59275
"CR 72 A 73 45";"CR 72 A 73 45 EDIFICIO PILARICA BLUE PH";"MEDELLIN";6,27409;-75,58233
"CR 37 29 56";"CR 37 29 56 CONJUNTO RESIDENCIAL CERATTO PH";"MEDELLIN";6,20542;-75,56718
"CR 27 AA 36 SUR 151";"CR 27 AA 36 SUR 151 CONJUNTO RESIDENCIAL NATIVO FLORA PH";"ENVIGADO";6,15847;-75,57405
"CR 82 A 37 B 32";"CR 82 A 37 B 32 EDIFICIO MIXTO SIMON BOLIVAR PH";"MEDELLIN";6,24552;-75,60436
"CL 42 102 27";"CL 42 102 27 ";"MEDELLIN";6,25579;-75,61784
"CR 39 77 SUR 84";"CR 39 77 SUR 84 MADEROS DEL CAMPO AP";"SABANETA";6,1526;-75,6109
"CIR 73 A 38 50";"CIR 73 A 38 50 VILLA LOGROÑO PH";"MEDELLIN";6,242686;-75,59548
"CL 29 29 31 920";"CL 29 29 31 920 ";"MEDELLIN";6,226914;-75,55967
"CR 77 33 A 30";"CR 77 33 A 30 EDIFICIO LAURELES DEL PINAR";"MEDELLIN";6,23988;-75,59757
"CR 59 5 A 10";"CR 59 5 A 10 ";"MEDELLIN";6,21313;-75,58619
"CL 5 80 C 125";"CL 5 80 C 125 URBANIZACION ARROYO DE LOS BERNAL";"MEDELLIN";6,24589;-75,57457
"CL 18 A SUR 22 35";"CL 18 A SUR 22 35 EDIFICIO MANANTIAL DE SAN LUCAS";"MEDELLIN";6,18063;-75,5616
"CR 80 C 34 A 71";"CR 80 C 34 A 71 ";"MEDELLIN";6,241689;-75,60245
"CR 33 28 10";"CR 33 28 10 SERRANIAS DE SAN DIEGO";"MEDELLIN";6,23349;-75,56834
"CR 86 66 140";"CR 86 66 140 EL CORTIJO PH";"MEDELLIN";6,27664;-75,59309
"CR 45 77 SUR 88";"CR 45 77 SUR 88 EDIFICIO MANHATTAN PH";"SABANETA";6,147061;-75,62032
"CL 56 SUR 40 B 22";"CL 56 SUR 40 B 22 ";"SABANETA";6,15444;-75,60365
"CL 27 SUR 27 B 69";"CL 27 SUR 27 B 69 URBANIZACION POSITANO";"ENVIGADO";6,174193;-75,57049
"CL 74 73 47";"CL 74 73 47 MIRADOR DE LA PILARIACA 1 PH";"MEDELLIN";6,27424;-75,58295
"CR 45 A 80 SUR 127";"CR 45 A 80 SUR 127 CONJUNTO RESIDENCIAL LIVING";"SABANETA";6,146112;-75,62553
"CL 29 29 31";"CL 29 29 31 GUAYACANES DE SAN DIEGO";"MEDELLIN";6,226818;-75,56762
"CL 39 52 28";"CL 39 52 28 ";"MEDELLIN";6,24018;-75,57357
"CR 71 A 52 70";"CR 71 A 52 70 EDIFICIO COLORS";"MEDELLIN";6,26121;-75,58655
"CR 31 29 71";"CR 31 29 71 CONJUNTO RESIDENCIAL BOSQUES DE SAN DIEGO II PH";"MEDELLIN";6,23349;-75,56834
"CR 74 52 55";"CR 74 52 55 OASIS DE COLORES";"MEDELLIN";6,26336;-75,58848
"CR 35 29 81";"CR 35 29 81 UNIDAD RESIDENCIAL SAN DIEGO DE LAS PALMAS PH";"MEDELLIN";6,2403;-75,56505
"CR 43 A 70 SUR 142";"CR 43 A 70 SUR 142 COLIBRI PH";"SABANETA";6,149623;-75,61477
"CL 33 C 88 A 115";"CL 33 C 88 A 115 FUENTE CAMPESTRE CONJUNTO LAURELES CAMPESTRE";"MEDELLIN";6,24167;-75,61353
"CL 74 SUR 35 145";"CL 74 SUR 35 145 URBANIZACION CATALUÑA";"SABANETA";6,152327;-75,61961
"CR 47 52 SUR 110";"CR 47 52 SUR 110 CONJUNTO RESIDENCIAL TORRES DE MAYORCA PH";"SABANETA";6,159782;-75,60608
"CL 61 75 153";"CL 61 75 153 CONJUNTO MIXTO BASALTO PH";"MEDELLIN";6,268751;-75,59062
"CL 77 SUR 29 31";"CL 77 SUR 29 31 ";"SABANETA";6,14788;-75,621
"CL 34 C 80 B 25";"CL 34 C 80 B 25 ";"MEDELLIN";6,24234;-75,60201
