"Direcciones_c";"Nombre_del_Lugar";"Total_de_apartamentos";"Centro_de_Costos";"Ciudad";"Valor.min";"Valor.max";"Valor.prom";"Valor.promad";"Latitud";"Longitud"
"AV 42 B DG 51 111 ";" LOS ARBOLES PH";3;"Bello";"BELLO";950000;1300000;1116666,66666667;0;6,3374327657566;-75,5497475590627
"AV 42 B DG 51 51 ";" LOS ARBOLES PH";10;"Bello";"BELLO";1e+06;1300000;1080590,1;18706,6;6,33739091626004;-75,5497475590627
"AV 43 DG 57 39  ";"";1;"Bello";"BELLO";8e+05;8e+05;8e+05;0;6,34063286994932;-75,5502134814329
"AV 47 63 52 NIQUIA ";" NIQUIA CAMACOL";1;"Bello";"BELLO";598947;598947;598947;0;6,34258904399418;-75,5547957075146
"AV 74 B 39 21 ";"";1;"Laureles";"MEDELLIN";2123435;2123435;2123435;0;6,24547431601047;-75,596636126511
"AV 74 B 39 B 166 ";" EDIFICIO ENTREPARQUES PH";1;"Laureles";"MEDELLIN";1800000;1800000;1800000;298900;6,23917101033446;-75,5927426295704
"AV CR 114 80 51 IN 5 ";" CONJUNTO RESIDENCIAL PORTAL DE SAN ANGEL VI PH";1;"Fontibon";"BOGOTA";1200000;1200000;1200000;124000;4,72254000000004;-74,12083
"CIR 3 66 B 165 ";" EDIFICIO NANTES";4;"Laureles";"MEDELLIN";1087408;1350000;1205639,5;0;6,24468955775869;-75,5868877365648
"CIR 3 74 93 ";"";1;"Laureles";"MEDELLIN";1699142;1699142;1699142;0;6,24385103713635;-75,5858411373386
"CIR 3 CR 66 B 165 ";" EDIFICIO NANTES";1;"Laureles";"MEDELLIN";1250000;1250000;1250000;0;6,24589000000003;-75,5745699999999
"CIR 3 TV 74 93 LC 101";" LC 101";1;"Laureles";"MEDELLIN";868960;868960;868960;0;6,24589000000003;-75,5745699999999
"CIR 3 TV 74 93 LC 102";" LC 102";1;"Laureles";"MEDELLIN";2063780;2063780;2063780;0;6,24589000000003;-75,5745699999999
"CIR 3 TV 74 93 LC 103";" LC 103";1;"Laureles";"MEDELLIN";1520680;1520680;1520680;0;6,24589000000003;-75,5745699999999
"CIR 4 66 B 184 ";" EDIFICIO LA TORRE 1";1;"Laureles";"MEDELLIN";769765;769765;769765;0;6,24531627268904;-75,5864910450069
"CIR 4 66 B 84 ";" TORRE CASABEL";1;"Laureles";"MEDELLIN";1680000;1680000;1680000;0;6,24475841374101;-75,5858664236294
"CIR 4 72 4";"";1;"Laureles";"MEDELLIN";2521260;2521260;2521260;0;6,24480505066217;-75,5860048837895
"CIR 4 CR 66 B 184 ";" EDIFICIO LA TORRE 1";1;"Laureles";"MEDELLIN";920000;920000;920000;0;6,24531627268904;-75,5864910450069
"CIR 5 66 B 152 ";" TORRE SION PH";2;"Laureles";"MEDELLIN";1088251;1264353;1176302;0;6,24564385182196;-75,5858823410301
"CIR 73 A 34 A 60 ";" EDIFICIO NEBRASKA";2;"Laureles";"MEDELLIN";2584044;2700000;2642022;0;6,24179293323;-75,5965745403548
"CIR 73 A 34 A 60  ";" EDIFICIO NEBRASKA";1;"Laureles";"MEDELLIN";2559285;2559285;2559285;0;6,24179293323;-75,5965745403548
"CIR 73 A 38 20 ";" EDIFICIO URBANAL SANTA TERESITA PH";1;"Laureles";"MEDELLIN";2060875;2060875;2060875;375600;6,24381000000005;-75,6106599999999
"CIR 73 A 38 50 ";" VILLA LOGROÑO PH, VILLA DE LOGROÑO";2;"Laureles";"MEDELLIN";675435;1901160;1288297,5;0;6,24268551349635;-75,5954815344218
"CIR 73 TV 38 19 ";" EDIFICIO TORREVEDRA PH";1;"Laureles";"MEDELLIN";2032200;2032200;2032200;0;6,24243999190742;-75,5948599873087
"CIR 74 76 39 ";" EDIFICIO VILLANGELA PH";1;"Laureles";"MEDELLIN";761776;761776;761776;0;6,24405712183083;-75,5976265326341
"CIR 74 A 39 B 165 ";" EDIFICIO LAURELES DEL PARQUE";2;"Laureles";"MEDELLIN";2323640;2500000;2411820;0;6,24597502586114;-75,5942798094454
"CIR 74 TV 39 B 32 ";" EDIFICIO CAPRI N 1";1;"Laureles";"MEDELLIN";2133810;2133810;2133810;370000;6,24523336713288;-75,5949186466004
"CIR 76 A 53 35 ";" CONJUNTO DE USO MIXTO JARDIN DE COLORES";1;"Colores";"MEDELLIN";1574955;1574955;1574955;0;6,26612000000006;-75,59367
"CIR 76 CL 38 105 ";" EDIFICIO PRIMAVERA DE LAURELES 2";1;"Laureles";"MEDELLIN";1687539;1687539;1687539;0;6,24613961678131;-75,5975708342568
"CIR 76 TV 39 41 ";" QUINTAS DEL PARQUE PH";1;"Laureles";"MEDELLIN";1300000;1300000;1300000;0;6,24641368998569;-75,5972325262069
"CL 1 35 388 ";" CONJUNTO RESIDECIAL EL REFUGIO II";1;"Poblado";"MEDELLIN";3e+06;3e+06;3e+06;0;6,26467000000002;-75,60139
"CL 1 45 120 ";" CONJUNTO RESIDENCIAL CONDOMINIO LA VEGA";1;"Poblado";"MEDELLIN";2361051;2361051;2361051;0;6,2053999845895;-75,5760599652194
"CL 1 75 BA 192 ";" UNIDAD RESIDENCIAL KALAMARI 1 CUARTA ETAPA";1;"Laureles";"MEDELLIN";2275835;2275835;2275835;404000;6,24589000000003;-75,5745699999999
"CL 1 B 53 32";"";1;"Laureles";"MEDELLIN";1800000;1800000;1800000;0;6,20887998314988;-75,5861599909077
"Cl 1 SUR 37B 75 ";" URBANIZACION WE NEW HOME";1;"Poblado";"MEDELLIN";5300000;5300000;5300000;0;6,20293169999858;-75,5703920241342
"CL 1 SUR 75 DA 191 ";" URBANIZACION PLAZUELAS DEL RODEO";1;"Laureles";"MEDELLIN";1531490;1531490;1531490;0;6,21027140399284;-75,5963496361352
"CL 10 42 45 LC 511 ";" LC 511 ED LA PLAZA DEL POBLADO";1;"Poblado";"MEDELLIN";9e+05;9e+05;9e+05;149183;6,21039999938122;-75,5701300201798
"CL 10 SUR 48 16 ";" UNIDAD RESIDENCIAL PORTON DE LA VEGA PH";1;"Poblado";"MEDELLIN";2e+06;2e+06;2e+06;285200;6,19717000340911;-75,5788699982589
"CL 102 74 A 12";"";1;"Centro";"MEDELLIN";850000;850000;850000;0;6,30015999837786;-75,5747099758939
"CL 103 G 65 12";"";1;"Colores";"MEDELLIN";1300000;1300000;1300000;0;6,30081472832735;-75,5664083020566
"CL 107 SUR  50 187 ";" FRONTERA DEL SUR ETAPA";1;"La estrella";"CALDAS";850000;850000;850000;108646;6,11125276635192;-75,6377722745826
"CL 107 SUR 50 187 ";" FRONTERA DEL SUR ETAPA 2 PH, FRONTERA DEL SUR ETAPA 2";7;"La estrella";"LA ESTRELLA,CALDAS";633720;850000;747674,285714286;0;6,11127840221941;-75,637957635729
"CL 11 B 40 47 ";" CONJUNTO RESIDENCIAL ARDILLEROS DE LA LINDE PH";1;"Poblado";"MEDELLIN";2400000;2400000;2400000;346900;6,21187999202492;-75,567380001567
"CL 11 E SUR 53 216 ";" CONJUNTO RESIDENCIAL LA COLINITA PH";1;"Laureles";"MEDELLIN";950000;950000;950000;0;6,19884545962542;-75,5929520570945
"CL 116 64 CC 5 ";"";1;"Colores";"MEDELLIN";790000;790000;790000;0;6,30982001605901;-75,5618799643414
"CL 117 50 A 136 ";"";1;"Bello";"MEDELLIN";650000;650000;650000;0;6,30385000552231;-75,5542899833779
"CL 12 39 140 ";" EDIFICIO NOVECENTO";1;"Poblado";"MEDELLIN";3900000;3900000;3900000;0;6,21300999830152;-75,5681799704061
"CL 12 39 172 ";" GAUDI LOFT PH";1;"Poblado";"MEDELLIN";2323640;2323640;2323640;414488;6,21305297347067;-75,5682908293279
"CL 12 43 D 67 ";"";2;"Poblado";"MEDELLIN";1930590;2578677;2254633,5;0;6,21368998019662;-75,572249971131
"CL 12 A 72 132 ";" URBANIZACION LA INMACULADA ZONA II";1;"Laureles";"MEDELLIN";1056200;1056200;1056200;0;6,24589000000003;-75,5745699999999
"CL 12 AA SUR 55 D 30 ";" URBANIZACION VILLATERRA APARTAMENTOS, CONJUNTO RESIDENCIAL VILLATERRA PH,";9;"Laureles,Itagui";"MEDELLIN,ITAGUI";1350000;1900000;1483333,33333333;52420;6,18983122047903;-75,6002548856951
"CL 12 C 71 C 30 IN 10 ";" CONJUNTO RESIDENCIAL TORRES DE VILLA ALSACIA";1;"Fontibon";"BOGOTA";1800000;1800000;1800000;234000;4,64354000000003;-74,12637
"CL 12 C SUR 39 153 ";" LA GRUTA DEL PROBLADO PH, LA GRUTA DEL POBLADO, CONJUNTO RESIDENCIAL LA GRUTA DEL POBLADO PH";6;"Poblado";"MEDELLIN";1901828;2602547;2200463,66666667;199219,166666667;6,19177000419785;-75,5750699786353
"CL 12 SUR 22 121 ";" PORTON DE LA COLINA";1;"Envigado";"MEDELLIN";4187478;4187478;4187478;621600;6,19800991919607;-75,5920094204874
"CL 12 SUR 43 A 225 ";" CONJUNTO RESIDENCIAL CRUCERO DEL SUR";1;"Poblado";"MEDELLIN";1850000;1850000;1850000;0;6,24589000000003;-75,5745699999999
"CL 12 SUR 52 33";"";1;"Laureles";"MEDELLIN";925014;925014;925014;0;6,19758000420293;-75,5904399583072
"CL 127 B SUR 41 40 ";" OBRA ANDALUCIA PH";1;"Colores";"CALDAS";711270;711270;711270;132548;6,09403957404238;-75,6293533352283
"CL 13 75 103 ";" UNIDAD RESIDENCIAL RAFAEL URIBE URIBE EDUCADORES";1;"Laureles";"MEDELLIN";1214630;1214630;1214630;0;6,24589000000003;-75,5745699999999
"CL 13 75 4 ";"";1;"Laureles";"MEDELLIN";1200000;1200000;1200000;0;6,21979162049879;-75,6346452177168
"CL 14 75 13 ";" BOSQUES DE SAN BERNARDO PH";1;"Laureles";"MEDELLIN";1334095;1334095;1334095;0;6,22624000000008;-75,5955499999999
"CL 14 SUR 43 A 100 ";" CONJUNTO RESIDENCIAL TURKEZA Y TK BUSINES PH";1;"Poblado";"MEDELLIN";3274220;3274220;3274220;0;6,19231000830993;-75,5775299833983
"CL 14 SUR 58 60 ";" CONJUNTO RESIDENCIAL MANTIA PH";2;"Itagui";"ITAGUI";1193506;1200000;1196753;90511;6,20542000000006;-75,56718
"CL 15 80 161 ";" EDIFICIO BERNALEJAS PH";1;"Laureles";"MEDELLIN";1900000;1900000;1900000;0;6,24589000000003;-75,5745699999999
"CL 15 A 65 GC 37";"";1;"Laureles";"MEDELLIN";1305902;1305902;1305902;0;6,2206400028526;-75,587000025244
"CL 15 B 35 A 90 ";" URBANIZACION LA MATTINA";1;"Poblado";"MEDELLIN";3e+06;3e+06;3e+06;574451;6,21566487282672;-75,565517271479
"CL 15 C SUR 29 C 83 ";" EDIFICIO SANTORINI";1;"Poblado";"MEDELLIN";3700000;3700000;3700000;0;6,18675429844679;-75,5664558610224
"CL 15 SUR 46 10 ";" CONJUNTO RESIDENCIAL TORRES DE SANTA MARIA PH";1;"Poblado";"MEDELLIN";1637110;1637110;1637110;311600;6,19239001357573;-75,5793800370672
"CL 16 24 C 15 ";" URBANIZACION ALTOS DEL POBLADO, URBANIZACION ALTOS DEL POBLADO PH";2;"Poblado";"MEDELLIN";1870794;1901160;1885977;241700;6,21504380957096;-75,5547654686228
"CL 16 A 43 B 126 ";" CONJUNTO RESIDENCIAL PARQUES DE VILLA CARLOTA, PARQUES DE VILLA CARLOTA";3;"Poblado";"MEDELLIN";1435706;1700000;1551322;0;6,2183100014079;-75,5709299890189
"CL 17 37 A 135 ";" UNIDAD RESIDENCIAL BORNEO DE CASTROPOLO";2;"Poblado";"MEDELLIN";1838077;2068941;1953509;400400;6,21694622876901;-75,5665008296379
"CL 17 37 A 80 ";" PROVIDENCIA DE CASTROPOLO PH, PROVIDENCIA DE CASTROPOLO, CONJUNTO RESIDENCIAL PROVIDENCIA DE CASTROPOL PH";4;"Poblado";"MEDELLIN";1609807;2300000;1966481,5;0;6,21703000097398;-75,566339975021
"CL 17 37 A 80  ";" PROVIDENCIA DE CASTROPOLO PH";1;"Poblado";"MEDELLIN";1767108;1767108;1767108;0;6,21703000097398;-75,566339975021
"CL 17 40 B 320 ";" URBANIZACION TERRAVERDE";1;"Poblado";"MEDELLIN";1958853;1958853;1958853;0;6,21908997940788;-75,5692100224873
"CL 17 A SUR 44 170 ";" EDIFICIO NATUZZI LIVING PH";1;"Poblado";"MEDELLIN";2050000;2050000;2050000;0;6,1880900134277;-75,5800899842661
"CL 17 A SUR 48 69 ";" JARDIN TRES";1;"Poblado";"MEDELLIN";2e+06;2e+06;2e+06;0;6,18934000664825;-75,5817900018682
"CL 17 SUR 30 70 ";" EDIFICIO ANTARES PH";1;"Poblado";"MEDELLIN";2534880;2534880;2534880;1264300;6,18455000044058;-75,5672299655002
"CL 18 43 G 90 ";" CONJUNTO RESIDENCIAL BOSQUE DEL RIO";4;"Poblado";"MEDELLIN";2600000;4e+06;3150000;0;6,20906000000002;-75,55296
"CL 18 A SUR 22 35 ";" URB MANANTIAL DE SAN LUCAS, EDIFICIO MANANTIAL DE SAN LUCAS, URBANIZACION MANANTIALES DE SAN LUCAS, EDIFICIO MANATIALES DE SAN LUCAS";5;"Poblado";"MEDELLIN";1572284;1950000;1812905,4;296400;6,18062999387301;-75,5616000087753
"CL 18 A SUR 25 C 25 ";" URBANIZACION Q FEEL";1;"Poblado";"MEDELLIN";2798930;2798930;2798930;0;6,18230000426169;-75,5649199968041
"CL 18 B SUR 38 164 ";" URBANIZACION CONTEMPORA PH";1;"Envigado";"ENVIGADO";2378798;2378798;2378798;0;6,16395000000006;-75,5732599999999
"CL 18 SUR 25 C 143 ";" EDIFICIO CINQUETERRE PH";1;"Poblado";"MEDELLIN";5080500;5080500;5080500;0;6,18274384558675;-75,5651522442352
"CL 19 43 G 155 ";" CONJUNTO DE USO MIXTO TORRES DEL RIO PH";2;"Poblado";"MEDELLIN";1795540;1900000;1847770;107334,5;6,24589000000003;-75,5745699999999
"CL 19 43 G 80 ";", CONJUNTO DE USO MIXTO PLAZA DE RIO PH, CONJUNTO RESIDENCIAL DE USO MIXTO PLAZA DEL RIO, CONJUNTO RESIDENCIAL DE USO MIXTO PLAZA DEL RIO PH, CONJUNTO DE USO MIXTO PLAZA DEL RIO PH";7;"Poblado";"MEDELLIN";1791499;3100000;2115174;65310;6,24251914408314;-75,573850362419
"CL 19 43 G 80  URB PLAZA DEL RIO ";" PLAZA DEL RIO";1;"Poblado";"MEDELLIN";2096317;2096317;2096317;0;6,22229400858182;-75,5695325369338
"CL 19 A 81 B 75 ";"";1;"Laureles";"MEDELLIN";1003390;1003390;1003390;0;6,22458000025925;-75,6038599720243
"CL 2 79 35 ";" MIRADOR DE LA MOTA";2;"Laureles";"MEDELLIN";913469;950000;931734,5;81650;6,21242455104764;-75,6006360393083
"CL 2 A 78 A 15 ";"";1;"Laureles";"MEDELLIN";849570;849570;849570;0;6,21284001330511;-75,6014599816881
"CL 2 B 81 A 460 ";" CONJUNTO RESIDENCIAL PASEO DEL PARQUE PH";1;"Laureles";"MEDELLIN";1450000;1450000;1450000;0;6,21088757053747;-75,6056765455044
"CL 2 B 81 A 513 ";" CAMINO DEL PARQUE PH, CONJUNTO RESIDENCIAL CAMINO DEL PARQUE, CONJUNTO RESIDENCIAL CAMINO DEL PARQUE PH";13;"Laureles";"MEDELLIN";1478680;2400000;1793003,38461538;59123,4615384615;6,24336692307695;-75,5771115384614
"CL 2 B 81 A 513 TO 2 ";" CONJUNTO RESIDENCIAL CAMINO DEL PARQUE";1;"Laureles";"MEDELLIN";1700000;1700000;1700000;158664;6,24589000000003;-75,5745699999999
"CL 2 B SUR 75 DA 15 ";" UNIDAD RESIDENCIAL ALTOS DE LA CIUDADELA, URBANIZACION ALTOS DE CIUDADELA PH";2;"Laureles";"MEDELLIN";1300000;2e+06;1650000;0;6,20823431592187;-75,5997262239975
"CL 2 SUR 20 185 ";" EDIFICIO TWINS PH";1;"Poblado";"MEDELLIN";4e+06;4e+06;4e+06;0;6,1938246648839;-75,5526148608461
"CL 2 SUR 35 16 ";"";1;"Poblado";"MEDELLIN";1820436;1820436;1820436;296322;6,1996000009587;-75,5675799937768
"CL 20  59 68  ";" EDIFICIO GUADAIRA";1;"Laureles";"MEDELLIN";1300000;1300000;1300000;0;6,2227200140351;-75,5838599966764
"CL 20 59 68  ";" EDIFICIO GUADAIRA";1;"Laureles";"MEDELLIN";1200000;1200000;1200000;0;6,2227200140351;-75,5838599966764
"CL 20 A 77 15 ";" URBANIZACION BELEN AVENIDA,";7;"Laureles";"MEDELLIN";1392119;1848350;1653971,57142857;145828,571428571;6,22492998662635;-75,5980700047678
"CL 20 A 77 15  ";"";1;"Laureles";"MEDELLIN";1256244;1256244;1256244;0;6,22492998662635;-75,5980700047678
"CL 20 A 80 A 23 ";"";1;"Laureles";"MEDELLIN";1300000;1300000;1300000;0;6,22551998879086;-75,6006399801004
"CL 20 B SUR 2 A 201 ";"";1;"Envigado";"ENVIGADO";4400140;4400140;4400140;0;6,17577504887048;-75,5591099129799
"CL 20 B SUR 27 335 ";" URBANIZACION CAMPIÑA DE SAN LUCAS PH";1;"Poblado";"MEDELLIN";2413764;2413764;2413764;421700;6,18066369374055;-75,5692565529288
"CL 20 SUR 39 A 72 ";" UNIDAD RESIDENCIAL LINDA VILLA PH";1;"Poblado";"MEDELLIN";1950000;1950000;1950000;0;6,18210001205192;-75,5756400318703
"CL 20 SUR 45 70 ";" PRADOS DE ZUÑIGA";1;"Envigado";"ENVIGADO";2994447;2994447;2994447;0;6,16876749605744;-75,5932768987407
"CL 20 SUR 47 14 ";" VLORE PARTAMENTOS";1;"Envigado";"ENVIGADO";2916785;2916785;2916785;0;6,18605665953181;-75,5816836185263
"CL 21 81 70 ";" MULTIFAMILIARES TIERRALTA";1;"Laureles";"MEDELLIN";1770788;1770788;1770788;365500;6,22656001533687;-75,6027999965487
"CL 21 A 59 7";"";1;"Bello";"BELLO";850000;850000;850000;0;6,31145000313736;-75,569656053584
"CL 21 A 78 6 ";"";1;"Laureles";"MEDELLIN";9e+05;9e+05;9e+05;0;6,22593397055841;-75,5986995145698
"CL 21 SUR 41 117 ";" URBANIZACION CANTA PIEDRA PH";1;"Envigado";"MEDELLIN";3e+06;3e+06;3e+06;0;6,1831184936464;-75,5784491244258
"CL 21 SUR 41 A 73 ";" UNIDAD RESIDENCIAL MONTEVERDE TORRE I II";1;"Envigado";"ENVIGADO";1585866;1585866;1585866;345000;6,18234458050361;-75,5774136259557
"CL 22 42 A 25 ";" CONJUNTO RESIDENCIAL LA VALVANERA";4;"Poblado";"MEDELLIN";1450000;1700000;1587500;83575;6,22198999217804;-75,5686299947876
"CL 22 57 84 ";" UNIDAD RESIDENCIAL LA FE";1;"Laureles";"MEDELLIN";1379294;1379294;1379294;0;6,22420998114357;-75,5825599634939
"CL 22 A 12 A 184 ";" CIUDADELA DEL SOL PREMIUM";1;"Laureles";"SAN JERONIMO";2e+06;2e+06;2e+06;0;6,44347022217709;-75,7310439250069
"CL 22 A SUR 46 34 ";" EDIFICIO TERRAZINO ROYAL PH";1;"Envigado";"ENVIGADO";2438640;2438640;2438640;477112;6,18425042466026;-75,582495798055
"CL 22 SUR 40 50 ";" MULTIFAMILIAR LA ABADIA PH";1;"Envigado";"ENVIGADO";1670980;1670980;1670980;0;6,18085889992404;-75,576458108313
"CL 22 SUR 40 62 ";" MULTIFAMILIAR LA ABADIA PH";1;"Envigado";"ENVIGADO";1717128;1717128;1717128;297500;6,18094377057834;-75,5765142772551
"CL 22 SUR 40 63 ";" MULTIFAMILIAR LA ABADIA PH";1;"Envigado";"ENVIGADO";2039089;2039089;2039089;0;6,18088598027423;-75,5766140040699
"CL 23 41 20 ";" UNIDAD RESIDENCIAL GUADUAL PH";5;"Poblado";"MEDELLIN";1518260;2100000;1737044,4;63640;6,2219500104999;-75,5670599805038
"CL 23 41 55 ";" URB FINITO APARTAMENTOS";1;"Poblado";"MEDELLIN";2468371;2468371;2468371;0;6,22180999080734;-75,5676499826683
"CL 23 41 70 ";" URBANIZACION TRIGALES";1;"Poblado";"MEDELLIN";2e+06;2e+06;2e+06;0;6,222129020344;-75,5673596359782
"CL 23 57 A 95 ";" EDIFICIO RESIDENCIAL SKY";8;"Bello";"BELLO";1250000;1400000;1331250;116282,25;6,31259065907538;-75,5633899657566
"CL 23 A 57 A 30 ";"";1;"Bello";"BELLO";850000;850000;850000;0;6,31317446428219;-75,5624504702623
"CL 23 A 59 A 23 ";"";1;"Bello";"BELLO";816485;816485;816485;0;6,31289496384253;-75,5694272035896
"CL 23 C 42 A 77 ";" UNIDAD RESIDENCIAL EL ENCIERRO";1;"Poblado";"MEDELLIN";1100000;1100000;1100000;0;6,24589000000003;-75,5745699999999
"CL 23 SUR  28 62 ";" EDIFICIO ZEBRANO PH";1;"Envigado";"ENVIGADO";4e+06;4e+06;4e+06;0;6,17838995985705;-75,5708230906912
"CL 23 SUR 28 80 ";" URBANIZACION CHABLISS P.H";1;"Envigado";"ENVIGADO";3508279;3508279;3508279;507587;6,17843169888164;-75,5709343753252
"CL 23 SUR 42 B 60 ";" EDIFICIO OCLOCK PH";3;"Envigado";"ENVIGADO";2373102;3100000;2824367,33333333;228833,333333333;6,18219118199968;-75,5797328132814
"CL 23 SUR 42 B 60  ";" EDIFICIO O´CLOCK LIVING";1;"Envigado";"ENVIGADO";3004973;3004973;3004973;419300;6,18219118199968;-75,5797328132814
"CL 23 SUR 42 B 60 1702 ";" EDIFICIO OCLOCK PH";1;"Envigado";"ENVIGADO";3230561;3230561;3230561;0;6,18219118199968;-75,5797328132814
"CL 24 39 07 ";" CONJUNTO RESIDENCIAL VANCOUVER";1;"Poblado";"MEDELLIN";3100000;3100000;3100000;0;6,22339776788721;-75,5657920508768
"CL 24 39 91 ";" URBANIZACION CANTIZAL PH, URBANIZACIÓN CANTIZAL PH";2;"Poblado";"MEDELLIN";1900000;2300000;2100000;146169,5;6,22359001367521;-75,5666500216195
"CL 24 39 A 70 ";" UNIDAD RESIDENCIAL EDIFICIO ACQUAVELLA PH";1;"Poblado";"MEDELLIN";3500000;3500000;3500000;536700;6,22354999008753;-75,5669200027207
"CL 24 55 83 ";"";1;"Bello";"BELLO";1214630;1214630;1214630;0;6,31349687917548;-75,5616571769389
"CL 24 55 97 401";"";1;"Bello";"BELLO";1200000;1200000;1200000;0;6,31349596315149;-75,5617664686085
"CL 24 61 52";"";1;"Itagui";"ITAGUI";1100000;1100000;1100000;0;6,16540574587254;-75,6436176917439
"CL 24 61 70";"";1;"Itagui";"ITAGUI";9e+05;9e+05;9e+05;0;6,16554444239847;-75,6436256134637
"CL 24 SUR 38 40 ";" URBANIZACION BENEDICTINE PARK PH";2;"Envigado";"ENVIGADO";3000444;3500000;3250222;183050;6,17787345050576;-75,5730013502715
"CL 24 SUR 38 44 ";" URBANIZACION BENEDICTINE GARDENS";1;"Envigado";"ENVIGADO";5347136;5347136;5347136;698100;6,17788576334907;-75,5730234244239
"CL 24 SUR 38 91 ";" URBANIZACION MONT CLAIRE";1;"Envigado";"ENVIGADO";3103411;3103411;3103411;0;6,17792805565359;-75,5733348065184
"CL 24 SUR 39 47 ";" URBANIZACION CHATEL PH";2;"Envigado";"ENVIGADO";2227974;2528704;2378339;449850;6,17851486458162;-75,5743386218716
"CL 24 SUR 39 73 ";", EDIFICIO LUXURY";4;"Envigado";"ENVIGADO";2957360;3600000;3339340;0;6,17855851107613;-75,574417982158
"CL 24 SUR 42 A 08 ";" EDIFICIO ZUÑIGA CAMPESTRE PH";1;"Envigado";"ENVIGADO";2174454;2174454;2174454;0;6,18040952033309;-75,5795318175959
"CL 25 50 B 10 C";" CEDROS DE BADAJOZ";1;"Itagui";"ITAGUI";923604;923604;923604;0;6,16028397534784;-75,6241982483106
"CL 25 51 46 ";" EDIFICIO MANANTIALES";1;"Bello";"BELLO";1e+06;1e+06;1e+06;0;6,31459033337416;-75,5582813238841
"CL 25 A 58 BB 60";"";1;"Bello";"BELLO";1584300;1584300;1584300;0;6,31493276205809;-75,5649831037058
"CL 25 B 58 DD 81 ";"";1;"Bello";"BELLO";897770;897770;897770;0;6,31466248202269;-75,568274974255
"CL 25 SUR 41 35 ";" ABADIA DEL CAMPO ETAPAS 1 Y 2 PH";1;"Envigado";"ENVIGADO";1900000;1900000;1900000;379600;6,17918272717085;-75,5777590497719
"CL 26 39 70 ";" URBANIZACION VELEROS DEL ESTE, URBANIZACION VELEROS DEL ESTE PH";6;"Poblado";"MEDELLIN";1800000;2500000;2100193,33333333;131116,666666667;6,22482999052146;-75,5665099600174
"CL 26 39 75 ";" CONJUNTO RESIDENCIAL CARBONEROS DEL POBLADO PH, CONJUNTO RESIDENCIAL CARBONEROS DEL POBLADO";5;"Poblado";"MEDELLIN";1524150;2e+06;1769660;202600;6,22592000249263;-75,5695239920238
